gene	conMean	treatMean	logFC	pValue	fdr
ZFAND3	4.9652881	5.57963432441176	0.614346224411764	1.17455829817858e-17	4.83677083814051e-17
CDC6	1.72419756	2.900776355	1.176578795	4.59910081283008e-27	2.19588418809341e-25
RBM22	4.69746042	5.42016529644385	0.722704876443851	6.75024326695572e-24	8.07925457683196e-23
CLTA	5.63075544	6.43407503893048	0.803319598930481	2.2828058721135e-23	2.36668817794504e-22
U2AF2	4.07082406	4.78129377807487	0.710469718074867	8.95337852365758e-25	1.38989793496428e-23
OPLAH	4.58306008	5.23218797058824	0.649127890588235	2.08896778067188e-10	4.48950180211064e-10
NUP205	2.75586532	3.47856129414438	0.722695974144385	5.02323953111968e-19	2.40489294191762e-18
COL2A1	1.79405362	2.38506314419786	0.591009524197861	2.874755145032e-07	4.89828553164885e-07
MARCKSL1	5.6394684	6.44698080497326	0.807512404973262	1.46146004673112e-07	2.54265837951073e-07
ZNF672	3.96043836	4.74903845874332	0.788600098743316	8.52887436275476e-21	5.24620802550228e-20
SNCG	2.32181352	3.4048764994385	1.0830629794385	1.76027621949334e-19	8.96685112271319e-19
STC2	1.98993718	2.66226183561497	0.672324655614973	1.13622489671111e-18	5.19207165682837e-18
AUP1	6.561936	7.25235236885027	0.690416368850268	6.15631310935831e-21	3.90651678843117e-20
PPP4R1	4.15837626	4.93955030449198	0.781174044491979	2.26708206999829e-17	9.004107879629e-17
TAX1BP1	5.68527	6.58373952973262	0.89846952973262	1.33463730441937e-21	9.50713815317443e-21
EPS15L1	2.3116267	2.89905411925134	0.587427419251337	1.31829019922389e-25	2.83320129677485e-24
XAB2	3.114802	3.79991399350267	0.685111993502674	1.50450777434989e-22	1.28523376893932e-21
PBXIP1	4.45007176	5.14966732885027	0.699595568850267	1.89492616838518e-20	1.10700283368692e-19
MYO5C	3.39566222	4.12342283847594	0.727760618475935	1.90840509032568e-15	6.19512758649273e-15
ATP6V0A1	3.9795768	4.5842878084492	0.604711008449198	8.75132502989828e-20	4.60944865766795e-19
RPL15	7.80957382	8.51296676933155	0.70339294933155	1.66081151954227e-15	5.41926418622714e-15
MAST3	3.52490954	4.52339815398396	0.998488613983957	2.19970627002545e-23	2.30486423287483e-22
ADI1	8.82001576	8.1966401484492	-0.623375611550802	2.3705720052927e-07	4.06272070678122e-07
NUPR1	6.24881868	7.4329958344385	1.1841771544385	5.54881465708502e-14	1.57546383368795e-13
MTMR11	2.52761284	3.48672295299465	0.959110112994652	5.98138952111177e-16	2.04543606813706e-15
PES1	4.01902286	4.84670522414438	0.827682364144385	2.04327266378803e-21	1.4100177686906e-20
PZP	5.7408169	3.01972440358289	-2.72109249641711	2.27214310363668e-21	1.55580155305603e-20
CXorf40B	3.56385688	4.38766755783422	0.823810677834225	7.64892579217386e-24	8.97250485023529e-23
HPGD	6.31473964	4.85104322911765	-1.46369641088235	1.81843049460867e-08	3.38082068095507e-08
ZNF7	2.56807486	3.44296575997326	0.874890899973262	4.46572897608479e-28	5.19667636897621e-26
G6PC	8.64129874	7.60669136010695	-1.03460737989305	7.14373626012642e-06	1.09397750321943e-05
XPO1	3.1928881	4.53251061740642	1.33962251740642	4.9035629842704e-22	3.76636276870091e-21
TRABD	3.29777014	3.92664789505348	0.628877755053476	3.04529194752317e-17	1.19551394544321e-16
RPS27	9.89197832	10.7437113957754	0.851733075775401	1.38405315493111e-18	6.25337162020793e-18
PSMA4	5.72997934	6.50867275002674	0.778693410026738	5.80893401561232e-24	7.09686226278058e-23
HSPH1	4.27228578	5.14814686925134	0.875861089251337	2.54746798343509e-19	1.26985240957574e-18
KIAA0100	3.55234688	4.69479854933155	1.14245166933155	1.43324404481227e-22	1.23270152364428e-21
PEMT	7.45728958	6.34325960200535	-1.11402997799465	4.95659750424697e-14	1.41825804195055e-13
NR1H2	3.84417036	4.43620691184492	0.59203655184492	3.77190687048737e-20	2.09410769245851e-19
NPM1	7.11591704	8.25014625596257	1.13422921596257	3.9370482496825e-24	5.01094339905555e-23
CTNNA1	4.87048662	5.693927195	0.823440574999999	2.23277518652476e-24	3.06720112326177e-23
EXOSC9	3.28733614	4.020218055	0.732881915	3.0997525082941e-24	4.062331440024e-23
MVP	4.59967536	5.49944496986631	0.89976960986631	1.89343959362876e-13	5.13029200322786e-13
GLUL	7.30227904	8.11454704465241	0.812268004652406	0.000190569129168115	0.000263303162512429
ADH1B	10.99990566	8.66623610467914	-2.33366955532085	3.38281297669037e-17	1.32097201693661e-16
SUPT16H	4.31590686	5.0482972534492	0.732390393449197	1.74062541348406e-19	8.87186628811581e-19
RPA1	4.38349	4.97223096497326	0.588740964973262	2.19331059859244e-13	5.90655869431921e-13
RHBDF2	2.86992702	3.63130922548128	0.761382205481283	1.66681740386669e-18	7.45090998398506e-18
COIL	3.47998004	4.18705267818182	0.707072638181818	4.84515158241953e-22	3.72473663424819e-21
POLR2G	4.8497241	5.88371719537433	1.03399309537433	3.97284394634804e-26	1.09321279059477e-24
PPME1	3.5988748	4.33479780093583	0.735923000935829	4.46995210560964e-26	1.19645718026818e-24
PTPRF	5.26061234	5.90667398719251	0.646061647192513	5.85924692573236e-12	1.40180736985357e-11
